date,RegionName,AreaCode,SalesVolume
01/09/2018,London,E12000007,40
01/09/2018,North East,E12000001,65
01/09/2018,North West,E12000002,111
01/09/2018,South East,E12000008,39
01/09/2018,South West,E12000009,32
01/09/2018,West Midlands Region,E12000005,60
01/09/2018,Yorkshire and The Humber,E12000003,85
01/09/2018,England,E92000001,475
01/09/2018,Wales,W92000004,46
01/10/2018,East Midlands,E12000004,54
01/10/2018,East of England,E12000006,14
01/10/2018,London,E12000007,47
01/10/2018,North East,E12000001,89
01/10/2018,North West,E12000002,163
01/10/2018,South East,E12000008,68
01/10/2018,South West,E12000009,40
01/10/2018,West Midlands Region,E12000005,66
01/10/2018,Yorkshire and The Humber,E12000003,82
01/10/2018,England,E92000001,623
01/10/2018,Wales,W92000004,63
01/11/2018,East Midlands,E12000004,48
01/11/2018,East of England,E12000006,17
01/11/2018,London,E12000007,39
01/11/2018,North East,E12000001,90
01/11/2018,North West,E12000002,158
01/11/2018,South East,E12000008,59
01/11/2018,South West,E12000009,39
01/11/2018,West Midlands Region,E12000005,56
01/11/2018,Yorkshire and The Humber,E12000003,105
01/11/2018,England,E92000001,611
01/11/2018,Wales,W92000004,67
01/12/2018,East Midlands,E12000004,36
01/12/2018,East of England,E12000006,18
01/12/2018,London,E12000007,38
01/12/2018,North East,E12000001,74
01/12/2018,North West,E12000002,118
01/12/2018,South East,E12000008,49
01/12/2018,South West,E12000009,25
01/12/2018,West Midlands Region,E12000005,61
01/12/2018,Yorkshire and The Humber,E12000003,87
01/12/2018,England,E92000001,506
01/12/2018,Wales,W92000004,50
01/01/2019,East Midlands,E12000004,46
01/01/2019,East of England,E12000006,16
01/01/2019,London,E12000007,44
01/01/2019,North East,E12000001,72
01/01/2019,North West,E12000002,149
01/01/2019,South East,E12000008,48
01/01/2019,South West,E12000009,40
01/01/2019,West Midlands Region,E12000005,40
01/01/2019,Yorkshire and The Humber,E12000003,88
01/01/2019,England,E92000001,543
01/01/2019,Wales,W92000004,43
01/02/2019,East Midlands,E12000004,54
01/02/2019,East of England,E12000006,18
01/02/2019,London,E12000007,46
01/02/2019,North East,E12000001,82
01/02/2019,North West,E12000002,136
01/02/2019,South East,E12000008,60
01/02/2019,South West,E12000009,59
01/02/2019,West Midlands Region,E12000005,41
01/02/2019,Yorkshire and The Humber,E12000003,87
01/02/2019,England,E92000001,583
01/02/2019,Wales,W92000004,55
01/03/2019,East Midlands,E12000004,44
01/03/2019,East of England,E12000006,8
01/03/2019,London,E12000007,47
01/03/2019,North East,E12000001,94
01/03/2019,North West,E12000002,170
01/03/2019,South East,E12000008,61
01/03/2019,South West,E12000009,51
01/03/2019,West Midlands Region,E12000005,52
01/03/2019,Yorkshire and The Humber,E12000003,85
01/03/2019,England,E92000001,612
01/03/2019,Wales,W92000004,55
01/04/2019,East Midlands,E12000004,45
01/04/2019,East of England,E12000006,18
01/04/2019,London,E12000007,37
01/04/2019,North East,E12000001,69
01/04/2019,North West,E12000002,128
01/04/2019,South East,E12000008,61
01/04/2019,South West,E12000009,73
01/04/2019,West Midlands Region,E12000005,55
01/04/2019,Yorkshire and The Humber,E12000003,103
01/04/2019,England,E92000001,589
01/04/2019,Wales,W92000004,41
01/05/2019,East Midlands,E12000004,51
01/05/2019,East of England,E12000006,11
01/05/2019,London,E12000007,51
01/05/2019,North East,E12000001,84
01/05/2019,North West,E12000002,140
01/05/2019,South East,E12000008,89
01/05/2019,South West,E12000009,45
01/05/2019,West Midlands Region,E12000005,61
01/05/2019,Yorkshire and The Humber,E12000003,85
01/05/2019,England,E92000001,617
01/05/2019,Wales,W92000004,62
